1. Código DANE Departamento,2. Código DANE Municipio,3. Informacion Predial utilizada,4. Número Predial Nacional o Información Predial Catastral,5. Dirección catastral del predio,6. Tipo de Asentamiento (Cabecera Municipal-Centros Poblados-Rural Dispersa),7. Tipo de Estratificacion,8. Estrato alcaldia,9. Estrato Atipico,10. ACUEDUCTO - NOMBRE EMPRESA,11. ACUEDUCTO - NIT,12. ACUEDUCTO -DV,13. ACUEDUCTO - NUIU,14. ACUEDUCTO - ESTRATO,15. ALCANTARILLADO - NOMBRE EMPRESA,16. ALCANTARILLADO - NIT,17. ALCANTARILLADO - DV,18. ALCANTARILLADO - NUIU,19. ALCANTARILLADO - ESTRATO,20. ASEO - NOMBRE EMPRESA,21. ASEO - NIT,22. ASEO - DV,23. ASEO - NUIU,24. ASEO -ESTRATO
52,490,1,524900000000000000002000000000,PLAYA BLANCA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000003000000000,PLAYA BLANCA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000004000000000,SANTANDER CANVERA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000005000000000,SANTANDER GRIETA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000006000000000,EL COCAL LAGARTERA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000007000000000,SANTANDER GRANDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000007000000000,SANTANDER GRANDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000008000000000,SANTANDER GRIETAS,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000009000000000,SANTANDER,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000010000000000,LERIDA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000011000000000,SANTANDER,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000012000000000,SANTANDER,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000012000000000,SANTANDER,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000013000000000,HERIDA PLANTANILLO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
